"Class Name - Live Objects","Live Bytes [%]","Live Bytes","Live Objects"
"char[]","59,24 %","99135400","938505"
"int[]","21,29 %","35622328","10105"
"boolean[]","8,62 %","14431072","450969"
"java.lang.String","3,14 %","5249448","218727"
"byte[]","1,89 %","3166760","9305"
"java.lang.Object[]","1,76 %","2941904","85700"
"java.io.ObjectStreamClass$WeakClassKey","0,76 %","1274176","39818"
"java.util.TreeMap$Entry","0,75 %","1258760","31469"
"java.lang.Long","0,20 %","329616","13734"
"java.io.ObjectStreamClass","0,17 %","277368","2667"
"java.lang.Class","0,14 %","226008","1996"
"java.util.HashMap","0,11 %","180864","3768"
"java.util.TreeMap","0,10 %","165696","3452"
"java.lang.StringBuilder","0,08 %","137856","5744"
"java.lang.management.ThreadInfo","0,08 %","137376","1431"
"java.util.TreeMap$KeyIterator","0,08 %","134144","4192"
"java.lang.reflect.Method","0,08 %","128040","1455"
"java.io.SerialCallbackContext","0,07 %","118248","4927"
"java.util.HashMap$Node[]","0,06 %","102704","1634"
"java.util.HashMap$Node","0,05 %","86560","2705"
"javax.management.openmbean.CompositeData[]","0,05 %","86040","4392"
"javax.management.openmbean.CompositeDataSupport","0,05 %","82272","3428"
"java.lang.String[]","0,04 %","70304","1881"
"java.lang.Boolean","0,04 %","65552","4097"
"java.lang.Class[]","0,04 %","59824","2354"
"java.util.TreeMap$EntrySet","0,03 %","54976","3436"
"java.util.TreeMap$KeySet","0,03 %","54896","3431"
"java.io.ObjectStreamClass$FieldReflectorKey","0,03 %","53280","1332"
"javax.management.ObjectName$Property[]","0,03 %","53016","1544"
"sun.rmi.transport.ConnectionInputStream","0,03 %","52800","600"
"java.io.DataOutputStream","0,03 %","50944","1592"
"java.lang.reflect.Field","0,03 %","49680","690"
"java.io.ObjectInputStream$HandleTable$HandleList[]","0,03 %","49496","799"
"long[]","0,03 %","48528","586"
"java.io.ObjectOutputStream$HandleTable","0,03 %","48080","1202"
"sun.rmi.transport.ConnectionOutputStream","0,03 %","43200","600"
"java.lang.Integer","0,02 %","41312","2582"
"java.lang.StackTraceElement","0,02 %","39456","1233"
"java.io.ObjectInputStream$BlockDataInputStream","0,02 %","39200","700"
"java.rmi.server.UID","0,02 %","38624","1207"
"java.util.LinkedHashMap$Entry","0,02 %","33120","828"
"java.lang.StackTraceElement[]","0,02 %","32808","1434"
"java.util.Hashtable$Entry[]","0,02 %","29480","436"
"java.util.HashMap$ValueIterator","0,02 %","27960","699"
"java.util.Vector","0,02 %","26656","833"
"java.lang.Object","0,01 %","24272","1517"
"java.io.ObjectOutputStream$BlockDataOutputStream","0,01 %","24040","601"
"java.io.ObjectStreamField","0,01 %","23240","581"
"java.io.DataInputStream","0,01 %","22848","714"
"java.io.ObjectInputStream$PeekInputStream","0,01 %","22400","700"
"java.io.ObjectInputStream$HandleTable","0,01 %","22400","700"
"java.lang.reflect.Constructor","0,01 %","22320","279"
"java.security.ProtectionDomain","0,01 %","21160","529"
"javax.management.ObjectName","0,01 %","20920","523"
"java.util.Hashtable","0,01 %","20544","428"
"java.io.ObjectStreamClass$ClassDataSlot","0,01 %","20160","840"
"java.lang.ref.SoftReference","0,01 %","19400","485"
"java.util.ArrayList","0,01 %","19368","807"
"sun.rmi.transport.Transport$1","0,01 %","19200","600"
"sun.rmi.transport.Transport$$Lambda$6.1947738372","0,01 %","19200","1200"
"sun.rmi.transport.StreamRemoteCall","0,01 %","19200","600"
"java.util.Collections$UnmodifiableCollection$1","0,01 %","18336","764"
"java.lang.management.LockInfo","0,01 %","18336","764"
"java.util.HashSet","0,01 %","18096","1131"
"java.io.ObjectStreamClass$ClassDataSlot[]","0,01 %","17488","728"
"javax.management.ObjectName$Property","0,01 %","17472","728"
"java.util.concurrent.ConcurrentHashMap$Node","0,01 %","14592","456"
"java.rmi.server.ObjID","0,01 %","14496","604"
"sun.rmi.transport.ObjectEndpoint","0,01 %","14472","603"
"java.io.ObjectOutputStream$ReplaceTable","0,01 %","14424","601"
"javax.management.remote.rmi.RMIConnectionImpl$PrivilegedOperation","0,01 %","14400","600"
"java.lang.Class$ReflectionData","0,01 %","14336","256"
"java.security.CodeSource","0,01 %","13248","414"
"java.lang.invoke.MemberName","0,01 %","12152","217"
"java.util.HashMap$Values","0,01 %","11248","703"
"java.io.ObjectInputStream$ValidationList","0,01 %","11200","700"
"sun.misc.FDBigInteger","0,01 %","10912","341"
"java.util.Hashtable$Entry","0,01 %","9728","304"
"sun.rmi.server.MarshalOutputStream$1","0,01 %","9600","600"
"java.lang.reflect.Method[]","0,01 %","9056","148"
"java.security.Principal[]","0,01 %","8464","529"
"java.security.ProtectionDomain$Key","0,01 %","8464","529"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper","0,00 %","7920","110"
"java.rmi.MarshalledObject$MarshalledObjectInputStream","0,00 %","7920","99"
"javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader","0,00 %","7920","110"
"java.lang.Thread[]","0,00 %","7864","106"
"com.sun.jmx.remote.util.OrderClassLoaders","0,00 %","7848","109"
"org.netbeans.lib.profiler.wireprotocol.MonitoredNumbersResponse","0,00 %","7776","81"
"java.io.ObjectStreamField[]","0,00 %","7632","271"
"java.lang.management.ThreadInfo[]","0,00 %","7488","99"
"java.util.WeakHashMap$Entry","0,00 %","7480","187"
"java.lang.invoke.LambdaForm$Name","0,00 %","7296","228"
"javax.management.Attribute","0,00 %","7128","297"
"java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry","0,00 %","6048","189"
"java.lang.Thread","0,00 %","6016","16"
"java.lang.ref.WeakReference","0,00 %","5952","186"
"java.security.AccessControlContext","0,00 %","5720","143"
"java.lang.ref.SoftReference[]","0,00 %","5640","94"
"java.lang.invoke.MethodType","0,00 %","5480","137"
"sun.reflect.DelegatingClassLoader","0,00 %","5472","76"
"java.security.ProtectionDomain[]","0,00 %","5368","224"
"java.util.concurrent.ConcurrentHashMap$Node[]","0,00 %","5184","32"
"java.net.NetworkInterface","0,00 %","4896","102"
"java.util.WeakHashMap$Entry[]","0,00 %","4656","45"
"javax.management.ImmutableDescriptor","0,00 %","4536","189"
"javax.management.MBeanPermission","0,00 %","4360","109"
"java.lang.Short","0,00 %","4096","256"
"com.sun.jmx.mbeanserver.ConvertingMethod","0,00 %","4096","128"
"java.lang.Byte","0,00 %","4096","256"
"java.lang.reflect.Field[]","0,00 %","3840","79"
"java.security.Permissions","0,00 %","3744","117"
"java.lang.invoke.LambdaForm","0,00 %","3696","77"
"java.lang.invoke.LambdaForm$Name[]","0,00 %","3648","82"
"java.net.URL","0,00 %","3648","57"
"java.rmi.MarshalledObject","0,00 %","3488","109"
"javax.management.remote.rmi.RMIConnectionImpl$SetCcl","0,00 %","3488","218"
"java.lang.reflect.Constructor[]","0,00 %","3304","143"
"java.util.ArrayList$Itr","0,00 %","3200","100"
"javax.management.AttributeList","0,00 %","3168","99"
"java.io.ByteArrayInputStream","0,00 %","3168","99"
"java.lang.invoke.MethodHandle[]","0,00 %","2912","28"
"javax.management.openmbean.OpenMBeanAttributeInfoSupport","0,00 %","2880","45"
