Nombre de villes;BrutForce v2;BrutForce v3;BrutForce v3.1;BrutForce v4;BackTrack v1;BackTrack v2;TrackProches;TrackProches v1.1;TrackProches v2;Marge d'erreur CurrentTime
3;1,9595917942265425E-4;2,1794494717703366E-4;1,4E-4;1,4E-4;1,705872210923198E-4;1,705872210923198E-4;2,4166091947189143E-4;5,271622141238881E-4;1,9595917942265425E-4;132.2916936578982
4;9,9498743710662E-5;3,1921779399024736E-4;;9,9498743710662E-5;2,98496231131986E-4;9,9498743710662E-5;9,9498743710662E-5;1,4E-4;2,9580398915498077E-4;66.37970628406312
5;1,4E-4;2,3748684174075834E-4;;1,705872210923198E-4;2,551470164434615E-4;1,4E-4;2,917190429162964E-4;2,1794494717703366E-4;4,7497368348151667E-4;50.36970953410704
6;2,1794494717703366E-4;2,917190429162964E-4;;;4,5825756949558405E-4;1,4E-4;;1,9595917942265425E-4;1,705872210923198E-4;34.475121688878204
7;5,015974481593781E-4;5,480875842417889E-4;2,1794494717703366E-4;2,551470164434615E-4;3,3630343441600467E-4;1,4E-4;1,705872210923198E-4;2,3748684174075834E-4;2,1794494717703366E-4;35.83570980718747
8;4,918333050943168E-4;9,624967532412772E-4;4,5376205218153716E-4;3,9230090491866067E-4;4,7999999999999985E-4;4,1424630354415965E-4;3,4698703145794946E-4;4,0E-4;3,3630343441600467E-4;20.927548345156215
9;0,0015111584959890754;7,022107945624299E-4;7,364781055808737E-4;4,841487374764074E-4;0,0010067770358922594;5,233545643251808E-4;0,0015105959089048247;5,602677931132574E-4;5,566866263886712E-4;20.373869721501165
10;0,009231354180183799;0,002763620813353518;0,0017080983578237668;0,0012595237195067274;0,005179372548871157;0,0014275503493747586;0,0015695859326586795;0,0019078784028338915;0,0017429572570777487;20.884199640271625
11;0,05361212176364423;0,020006686382307338;0,010658330075577777;0,00895926336257611;0,03945480832547535;0,009228753978734055;0,009459386872308349;0,010673443680462273;0,008211424967689842;22.692968547544748
12;0,2096809061405973;0,1814052576415699;0,07858111477958848;0,07714173708181607;0,22076072204991543;0,049793674297042935;0,05030328021113541;0,05252454188281892;0,038502877814521885;24.902341335697823
13;;;;0,2567269366467437;1,5457493134399263;0,37190475931345673;0,3656702115294599;0,3913002039355464;0,2943537219061448;24.90426137802398
14;;;;;6,816318367241948;1,476944324746198;1,475311182734001;1,4294743669964856;0,9150626330475962;21.291637877000895
15;;;;;;10,307539780102713;10,212926811933006;8,385401816871987;3,9062026736333078;20.012285959999108
