Nombre de villes;PlusProche v3;TrackProches v2.1;PlusProche v3
4;97,07219617792323;95,36975452724326;95,72963357521425
5;108,38737062900776;103,84624594795535;104,813989204832
6;121,24285639125073;114,84755444969129;115,99205554071636
7;134,95025997156827;125,16866778414636;127,1291180474875
8;144,08515235276755;131,66597685860205;135,18037240878692
9;148,98233209600318;135,82537057404005;139,25295350038417
10;155,20891367728893;142,2023033853572;145,7291860174933
11;163,1781476496607;147,009631568529;150,7195974979613
12;175,4046506369334;156,63270972611062;160,2807746867217
13;184,42431307961903;160,4164739906373;165,12178355520285
14;190,87324960613375;166,8894055176029;173,01714972767965
15;195,03734582815704;171,0224023359321;177,26612316622916
