Nombre de villes;BrutForce v2;BrutForce v3;BrutForce v3.1;BrutForce v4;BackTrack v1;BackTrack v2;TrackProches;TrackProches v1.1;TrackProches v2;Marge d'erreur CurrentTime
3;2,215851980616034E-4;;;9,9498743710662E-5;;;;;1,98997487421324E-4;49,16008404841232
4;;1,4E-4;9,9498743710662E-5;;;;;;9,9498743710662E-5;13,168847476048569
5;;9,9498743710662E-5;;;9,9498743710662E-5;9,9498743710662E-5;;9,9498743710662E-5;;10,502100630208684
6;1,4E-4;1,4E-4;;;9,9498743710662E-5;;;9,9498743710662E-5;1,4E-4;10,89880411089721
7;2,7129319932501074E-4;1,4E-4;1,4E-4;9,9498743710662E-5;3,0E-4;1,705872210923198E-4;9,9498743710662E-5;1,4E-4;1,705872210923198E-4;9,66366736869664
8;5,141984052872975E-4;5,156549233741495E-4;3,2496153618543836E-4;2,861817604250837E-4;4,7696960070847287E-4;3,5707142142714246E-4;3,3630343441600467E-4;3,0E-4;2,551470164434615E-4;10,171020788947212
9;5,109794516417277E-4;4,950757517794589E-4;3,059411708155658E-4;4,5552167895721474E-4;6,766830868286808E-4;5,361902647381805E-4;4,983974317750845E-4;5,192301994298866E-4;4,918333050943175E-4;9,16244932853536
10;0,0016964374435859428;7,549834435267316E-4;5,771481612206077E-4;7,7942286340603E-4;0,0033914451197092823;0,0010523782589924593;0,0010725670142233562;0,0011566762727747114;0,0012034949106664286;10,008340248111297
11;0,014393675694554525;0,004888394419438907;0,0013883443377005749;0,004758108868027151;0,02875388495490655;0,007086966911168688;0,007190159942588207;0,007788061376234781;0,006808369848943294;9,654762458512216
12;0,054334529536816445;0,06931279535554874;0,015128446714709873;0,033506982854326565;0,1843563231896323;0,047004692318958936;0,046888773709705824;0,05010588787757381;0,0390036549569396;8,678745113349617
13;;;0,17456552093666514;0,14041064453950128;0,7844587703633623;0,1846952286876952;0,18374725467336933;0,17006767358907443;0,12214714855452012;9,44533349282132
14;;;;;5,348363989810342;1,2005397244572953;1,1780779965265469;1,0997566263042018;0,7649405238971196;11,419643350585241
15;;;;;;;;5,570099206261947;3,476770545477513;9,957192538700113
16;;;;;;;;;10,041922022576152;8,488708558477871
17;;;;;;;;;;8,701384514708222
18;;;;;;;;;;8,965647241482742
19;;;;;;;;;;8,549221480904148
20;;;;;;;;;;8,676603408707427
