Nombre de villes;BrutForce v2;BrutForce v3;BrutForce v3.1;BrutForce v4;BackTrack v1;BackTrack v2;TrackProches;TrackProches v1.1;TrackProches v2;Marge d'erreur CurrentTime
3;2,9999999999999997E-5;;;1,0E-5;;;;;2,0E-5;49,16008404841232
4;;2,0E-5;1,0E-5;;;;;;1,0E-5;13,168847476048569
5;;1,0E-5;;;1,0E-5;1,0E-5;;1,0E-5;;10,502100630208684
6;2,0E-5;2,0E-5;;;1,0E-5;;;1,0E-5;2,0E-5;10,89880411089721
7;8,0E-5;2,0E-5;2,0E-5;1,0E-5;9,999999999999999E-5;2,9999999999999997E-5;1,0E-5;2,0E-5;2,9999999999999997E-5;9,66366736869664
8;6,600000000000003E-4;2,900000000000001E-4;1,1999999999999998E-4;8,999999999999999E-5;3,5000000000000016E-4;1,5E-4;1,3E-4;9,999999999999999E-5;7,000000000000001E-5;10,171020788947212
9;0,005329999999999991;0,0015700000000000009;0,0010800000000000007;7,500000000000004E-4;0,0018900000000000015;5,500000000000002E-4;5,400000000000002E-4;5,200000000000004E-4;4,100000000000002E-4;9,16244932853536
10;0,05039;0,01510000000000002;0,009869999999999985;0,005349999999999994;0,00909;0,0026499999999999996;0,0026399999999999983;0,0023899999999999998;0,0014600000000000008;10,008340248111297
11;0,49589;0,15994000000000003;0,0974499999999999;0,05098000000000002;0,05821;0,014430000000000007;0,013959999999999998;0,012810000000000002;0,007809999999999994;9,654762458512216
12;5,602170000000001;1,9015800000000005;1,15101;0,44939;0,2803099999999998;0,06717000000000002;0,06523000000000001;0,058600000000000006;0,03293000000000001;8,678745113349617
13;;;13,94617;5,69597;1,2387600000000005;0,2858499999999999;0,27591999999999994;0,22892000000000012;0,11278999999999999;9,44533349282132
14;;;;;6,614049999999998;1,4469000000000005;1,3832099999999996;1,0782699999999998;0,42757000000000017;11,419643350585241
15;;;;;;;;5,864179999999999;2,3927100000000006;9,957192538700113
16;;;;;;;;;6,918350000000001;8,488708558477871
17;;;;;;;;;;8,701384514708222
18;;;;;;;;;;8,965647241482742
19;;;;;;;;;;8,549221480904148
20;;;;;;;;;;8,676603408707427
